관리번호,자치구,AP별 이용량(GB)
WF191163,중구,1498.1165636 
WF170007,중구,1497.0194959 
WF171854,영등포구,1487.2222878 
YC170019,양천구,1483.7006325 
SC000052,서초구,1480.0916062 
NW160007,노원구,1478.8550859 
WF205107,중구,1478.5390223 
WF160060,마포구,1477.0707574 
GA010005,관악구,1476.8444838 
YC170102,양천구,1475.8694699 
WN000655,도봉구,1474.8926207 
YS000039,용산구,1474.2932524 
WF110125,중구,1469.1047012 
YC090014,양천구,1465.3614460 
WN003883,성동구,1457.3444814 
NW040010,노원구,1449.4455178 
NW160038,노원구,1440.2082994 
DB010019,도봉구,1437.0616082 
YS000028,용산구,1436.5863424 
WN000641,도봉구,1435.0491486 
WN003967,성동구,1425.6118536 
WF191117,중구,1424.3443349 
MP020039,마포구,1416.1111814 
SC000048,서초구,1415.4454196 
WF190580,동작구,1414.2856499 
EP070008,은평구,1412.8944582 
GS200038,강서구,1410.4027518 
WN000646,도봉구,1408.3686102 
GS010073,강서구,1404.4508913 
NW100004,노원구,1396.1365923 
GA070087,관악구,1390.3169009 
NW020013,노원구,1385.0570510 
YS000030,용산구,1382.8436238 
YC120035,양천구,1380.6741147 
WF141976,동작구,1370.0617667 
WN000685,도봉구,1367.8220567 
GS170006,강서구,1364.4886438 
SD000212,성동구,1362.0273116 
WN000689,도봉구,1359.0557406 
DDM000035,동대문구,1358.3011487 
WF191159,중구,1356.4282846 
GS060037,강서구,1356.1778647 
SC000044,서초구,1351.8091426 
SB020049,성북구,1351.0071879 
SB020042,성북구,1349.6355786 
WF190713,서대문구,1348.3355297 
WF200094,은평구,1347.0247610 
WF132047,성북구,1345.3518152 
WF120405,중구,1341.9782377 
SB020033,성북구,1340.7168771 
WF110115,중구,1340.3781912 
EP000041,은평구,1332.5017066 
SD000303,성동구,1332.4890679 
WN000694,도봉구,1330.1981223 
MP020032,마포구,1324.4271675 
WF161158,강서구,1319.6960219 
GA070042,관악구,1319.5445851 
YS000041,용산구,1317.8880196 
WF181310,관악구,1316.6202172 
YC010005,양천구,1316.1985224 
WN000632,도봉구,1315.4715188 
WF190980,은평구,1314.9500427 
YS000010,용산구,1314.2544526 
WF190292,구로구,1309.9292069 
WF160196,마포구,1298.3823825 
DDM000057,동대문구,1297.4568809 
WF190412,노원구,1297.3872668 
YDP000024,영등포구,1296.1783902 
GS050014,강서구,1293.1494192 
GN070024,강남구,1291.4891289 
WF190924,영등포구,1287.6147098 
SC000042,서초구,1285.0082005 
YC170033,양천구,1284.8966178 
WF181108,노원구,1284.6314734 
WF181297,동작구,1279.3786125 
YC100006,양천구,1278.2507139 
NW160017,노원구,1276.9307143 
WN003896,성동구,1275.8811600 
YC060006,양천구,1275.7453625 
DDM000031,동대문구,1271.9104318 
WF190305,구로구,1271.5299665 
WF120224,은평구,1264.2289954 
DDM000047,동대문구,1259.8265578 
WF190797,성북구,1258.1450764 
WF171911,관악구,1256.5481299 
WN003902,성동구,1255.6983756 
WF190042,강남구,1255.4694435 
SP260076,송파구,1253.0829798 
NW020001,노원구,1253.0353570 
YS000001,용산구,1252.2017025 
WF190816,송파구,1251.8287430 
YC170105,양천구,1249.5543725 
GB080001,강북구,1240.7660787 
WF190187,강서구,1239.4445097 
SC000031,서초구,1237.9137089 
WF120214,은평구,1236.7921479 
WF190812,송파구,1236.1716011 
WF170044,중구,1235.7394675 
GD130050,강동구,1233.1168773 
WF190403,노원구,1232.0648922 
WF190997,은평구,1230.3342318 
WF120239,은평구,1229.1969455 
WN000704,도봉구,1226.8248920 
WF130029,송파구,1222.9202820 
GS010012,강서구,1221.3120628 
GS150035,강서구,1220.6069331 
NW190001,노원구,1220.2793357 
WF130024,송파구,1220.2304346 
GB020002,강북구,1218.3281427 
WF200100,은평구,1216.0327544 
WF121943,중구,1215.6238964 
WF201352,도봉구,1212.6873939 
WF120146,서초구,1211.4595323 
YS000052,용산구,1207.3805394 
JG130002,중구,1204.7788486 
YC030005,양천구,1203.5781154 
YDP000061,영등포구,1202.6739762 
YC090007,양천구,1202.0409266 
YS000056,용산구,1201.1082362 
WF190978,은평구,1199.2153713 
SB020050,성북구,1194.1827960 
WF201413,동대문구,1193.2900775 
YC050006,양천구,1192.2330983 
WF120335,중구,1191.7529161 
NW160052,노원구,1191.2239468 
WN000651,도봉구,1190.5119627 
GR030052,구로구,1189.5838882 
SC000022,서초구,1176.6780158 
WF190950,용산구,1176.6619759 
EP000122,은평구,1176.2280615 
YC090015,양천구,1172.4667557 
WF191023,은평구,1170.5029019 
WF171635,강서구,1169.0937106 
GS100057,강서구,1164.6642186 
WN000654,도봉구,1164.4057053 
GN070051,강남구,1163.7354978 
GS100013,강서구,1162.8402320 
GA130001,관악구,1161.2316196 
GS100042,강서구,1160.0806591 
GJ100038,광진구,1159.7054557 
NW160011,노원구,1159.5399446 
GN180005,강남구,1158.1929840 
SC000012,서초구,1157.2925130 
WF161302,관악구,1156.8174416 
