구분,버스명,AP별 이용량(단위 : GB)
시내버스,서울교통네트웍_150_서울71사3217,752.72259302 
시내버스,도선여객_420_서울74사3154,751.93060562 
시내버스,한성운수_145_서울74사8940,751.70550495 
시내버스,도선여객_420_서울74사4402,751.32092461 
시내버스,신촌교통_740_서울74사8355,750.47765858 
시내버스,서울교통네트웍_600_서울70사6667,750.45153499 
시내버스,동아운수_153_서울74사4031,750.12396090 
시내버스,태릉교통_1155_서울74사1746,750.10864064 
시내버스,삼화상운_1224_서울74사3581,750.10192581 
시내버스,동아운수_152_서울74사2108,750.06786734 
시내버스,한국비알티_741_서울71사1839,749.91472997 
시내버스,서울승합_340_서울74사8818,749.73247945 
시내버스,진화운수_461_서울70사9684,749.41058643 
시내버스,동아운수_153_서울75사2899,748.45098890 
시내버스,대원여객_111_서울75사1394,747.83136137 
시내버스,신인운수_571_서울74사5561,747.77044356 
시내버스,대원여객_106_서울71사1015,747.28039093 
시내버스,삼양교통_130_서울74사3267,747.27703817 
시내버스,한국비알티_140_서울74사2230,747.22815305 
시내버스,동아운수_152_서울74사2124,747.05395848 
시내버스,동해운수_700_서울74사3629,746.41534127 
시내버스,신인운수_571_서울74사5541,746.11065909 
시내버스,중부운수_603_서울70사7923,745.55169791 
시내버스,신촌교통_740_서울74사5830,745.53552084 
시내버스,서울교통네트웍_160_서울70사6708,745.21002360 
시내버스,삼화상운_1224_서울74사3582,744.51836757 
시내버스,신인운수_571_서울74사5522,744.06774715 
시내버스,신길운수_673_서울74사9574,744.02923696 
시내버스,서울교통네트웍_160_서울70사6724,744.01965365 
시내버스,신촌교통_740_서울74사5817,743.89880523 
시내버스,관악교통_643_서울70사8921,743.24786663 
시내버스,동아운수_153_서울74사5901,743.09960939 
시내버스,신촌교통_740_서울74사5839,742.40655638 
시내버스,신촌교통_740_서울74사8376,741.94476008 
시내버스,동아운수_153_서울74사2102,741.47979729 
시내버스,태릉교통_1155_서울74사1734,741.30670168 
시내버스,한국비알티_140_서울71사1822,740.88537134 
시내버스,우신버스_502_서울70사9002,740.75073004 
시내버스,한국비알티_140_서울74사9969,740.48547074 
시내버스,서울교통네트웍_160_서울70사6797,740.02557434 
시내버스,한국비알티_741_서울74사5335,739.49859478 
시내버스,한남여객운수_501_서울74사9997,737.44915426 
시내버스,흥안운수_1224_서울74사3964,737.04229668 
시내버스,동아운수_152_서울74사4329,736.80615053 
시내버스,동아운수_153_서울74사2123,736.33019812 
시내버스,남성교통_320_서울74사9821,735.60382240 
시내버스,흥안운수_1224_서울75사2841,735.46863161 
시내버스,동아운수_153_서울74사2133,735.21911167 
시내버스,한남여객운수_501_서울74사3769,734.81994681 
시내버스,한국비알티_140_서울71사1866,733.83233510 
시내버스,관악교통_643_서울70사8923,733.00024495 
시내버스,신인운수_571_서울74사5538,732.22368956 
시내버스,한국비알티_140_서울74사3022,732.16259480 
시내버스,삼양교통_130_서울75사4044,732.09588416 
시내버스,대원여객_107_서울74사1563,731.94488883 
시내버스,신길운수_673_서울75사1430,731.85968213 
시내버스,신길운수_606_서울74사2833,731.09741323 
시내버스,경성여객_271_서울74사1280,730.66400364 
시내버스,남성교통_320_서울74사1913,730.54132052 
시내버스,한국비알티_140_서울71사1813,730.34460656 
시내버스,아진교통_141_서울74사1290,729.70873676 
시내버스,한성여객운수_1143_서울74사8727,729.69372384 
시내버스,신촌교통_740_서울74사8377,729.69366796 
시내버스,서울교통네트웍_160_서울70사6693,729.51770388 
시내버스,신촌교통_740_서울74사5878,729.19824161 
시내버스,한남여객운수_501_서울74사3722,729.04668748 
시내버스,흥안운수_1224_서울74사3904,728.97619568 
시내버스,중부운수_603_서울74사9651,728.78857143 
시내버스,아진교통_141_서울74사6495,728.58136147 
시내버스,우신버스_541_서울74사8289,728.44311595 
시내버스,서울승합_3318_서울74사3015,728.20709087 
시내버스,원버스_7737_서울70사7219,728.11706923 
시내버스,한국비알티_140_서울71사1863,727.97070257 
시내버스,신인운수_571_서울74사5529,727.70983912 
시내버스,신흥기업_3216_서울74사4484,727.22936980 
시내버스,흥안운수_105_서울74사1882,727.17078030 
시내버스,태릉교통_1155_서울74사1745,726.85021907 
시내버스,신길운수_673_서울75사1408,726.43414140 
시내버스,신인운수_571_서울74사5560,725.67688301 
시내버스,한국비알티_741_서울74사7934,725.38189590 
시내버스,한남여객운수_501_서울74사3729,725.32751597 
시내버스,신인운수_571_서울74사7859,724.90411811 
시내버스,관악교통_643_서울74사4601,724.50066917 
시내버스,한국비알티_741_서울74사7922,724.17034768 
시내버스,동아운수_153_서울71사1250,723.69439527 
시내버스,군포교통_500_서울70사6777,723.34734723 
시내버스,동해운수_700_서울70사7288,723.32281619 
시내버스,서울승합_340_서울74사1574,723.14050049 
시내버스,대원여객_341_서울74사1559,723.10333140 
시내버스,서울교통네트웍_160_서울70사6726,722.38750756 
시내버스,한남여객운수_501_서울74사3743,722.22613730 
시내버스,한남여객운수_506_서울75사1321,722.22302668 
시내버스,동아운수_152_서울74사2110,722.16430679 
시내버스,삼양교통_130_서울74사5844,722.14984335 
시내버스,서울교통네트웍_160_서울70사6679,721.22973390 
시내버스,한국비알티_140_서울71사1814,721.14477865 
시내버스,신길운수_652_서울74사4795,721.09698318 
시내버스,제일여객_720_서울74사5323,720.98120116 
시내버스,동해운수_700_서울75사1040,719.99865584 
시내버스,서울승합_340_서울74사3036,719.99822743 
시내버스,한국비알티_741_서울74사5387,719.98278610 
시내버스,관악교통_643_서울74사4666,719.89300661 
시내버스,동아운수_153_서울74사2143,719.81018409 
시내버스,세풍운수_6716_서울74사2858,719.78191845 
시내버스,서부운수_721_서울70사7283,719.26440112 
시내버스,삼화상운_1224_서울75사1582,718.81396696 
시내버스,한국비알티_140_서울74사4009,718.49829517 
시내버스,동아운수_153_서울74사2140,717.83063002 
시내버스,태릉교통_1155_서울74사1701,717.70849638 
시내버스,한국비알티_140_서울74사3897,717.19348431 
시내버스,흥안운수_1224_서울74사6332,716.32244624 
시내버스,한국비알티_741_서울74사7916,716.29492566 
시내버스,동해운수_700_서울75사1772,715.85748345 
시내버스,신촌교통_740_서울74사8326,715.34221992 
시내버스,동아운수_152_서울74사7451,715.31121619 
시내버스,동해운수_7728_서울74사2465,715.21637030 
시내버스,태릉교통_1155_서울74사1735,715.19048885 
시내버스,동아운수_153_서울74사2115,714.92797695 
시내버스,한국비알티_140_서울74사4015,714.85681459 
시내버스,서울교통네트웍_160_서울71사3263,714.37310427 
시내버스,흥안운수_1224_서울70사6895,714.33129720 
시내버스,서부운수_721_서울74사4153,713.66974153 
시내버스,신길운수_606_서울74사9882,713.45495991 
시내버스,흥안운수_1224_서울74사4934,713.04278448 
시내버스,대원여객_370_서울74사7611,712.97906339 
시내버스,한남여객운수_501_서울74사3723,712.80120872 
시내버스,서울승합_340_서울74사6314,712.78741583 
시내버스,동아운수_153_서울74사4059,712.51348592 
시내버스,서울승합_340_서울74사4247,712.10437454 
시내버스,태릉교통_1155_서울74사1733,711.34033613 
시내버스,중부운수_603_서울74사9652,711.22662164 
시내버스,한국비알티_360_서울71사1879,710.89239791 
시내버스,신인운수_571_서울74사5566,710.68976074 
시내버스,중부운수_603_서울70사7983,710.55065840 
시내버스,서울승합_340_서울70사9724,709.71856825 
시내버스,한남여객운수_501_서울74사2530,709.47674103 
시내버스,한국비알티_741_서울71사1838,708.57556537 
시내버스,한국비알티_741_서울74사5385,708.53216574 
시내버스,한국비알티_741_서울71사1843,708.16119201 
시내버스,흥안운수_146번_서울74사9647,708.02715607 
시내버스,신길운수_661_서울74사4775,708.00427347 
시내버스,서울승합_340_서울75사3063,707.59429596 
시내버스,중부운수_641_서울70사7941,707.50403218 
시내버스,김포교통_654_서울75사2745,707.38122799 
시내버스,삼양교통_130_서울74사3274,706.94836788 
시내버스,흥안운수_1224_서울74사3535,706.68053813 
시내버스,한국비알티_140_서울74사4051,705.65070026 
시내버스,신길운수_673_서울75사2695,705.60302585 
시내버스,남성교통_320_서울74사9823,705.53485304 
시내버스,흥안운수_1224_서울75사2111,704.94909771 
시내버스,송파상운_370_서울74사4346,704.80530150 
시내버스,신길운수_606_서울74사9885,704.26568389 
시내버스,삼양교통_130_서울74사3225,703.72954942 
시내버스,신촌교통_740_서울74사5879,703.00659165 
시내버스,서울교통네트웍_160_서울70사6747,702.37133652 
시내버스,중부운수_640_서울75사1354,702.25780830 
시내버스,신인운수_571_서울74사5523,702.17218250 
시내버스,서울교통네트웍_160_서울71사3228,701.64123550 
시내버스,태릉교통_202_서울74사1741,700.55212826 
시내버스,메트로버스_273_서울74사9697,700.49316622 
시내버스,동아운수_153_서울74사3883,700.47820918 
시내버스,중부운수_603_서울70사7996,700.13562217 
시내버스,태릉교통_1155_서울74사1724,700.12182929 
시내버스,삼양교통_130_서울74사3272,699.86028597 
시내버스,한남여객운수_501_서울74사3730,699.51843470 
시내버스,서울승합_340_서울75사1038,699.41876456 
시내버스,신인운수_571_서울74사7936,699.37493652 
시내버스,신인운수_571_서울74사5537,699.33374412 
시내버스,동아운수_152_서울74사4012,699.30633530 
시내버스,진화운수_461_서울74사3081,699.11297411 
시내버스,대원여객_106_서울70사2779,698.71637039 
시내버스,서울교통네트웍_160_서울70사6754,698.05028848 
시내버스,한남여객운수_501_서울74사7002,698.04889150 
시내버스,한국비알티_741_서울71사1842,696.23406976 
시내버스,우신버스_502_서울70사8968,695.83190605 
